film,filmLabel,locationLabel,boxOffice
http://www.wikidata.org/entity/Q50143448,Detective Chinatown 2,Нью-Йорк,544185156
http://www.wikidata.org/entity/Q69826739,The Wedding Party 2: Destination Dubai,Дубай,500000000
http://www.wikidata.org/entity/Q69826739,The Wedding Party 2: Destination Dubai,Лагос,500000000
http://www.wikidata.org/entity/Q105395068,Пара из будущего,Нижний Новгород,520373549
http://www.wikidata.org/entity/Q105395068,Пара из будущего,Зеленоград,520373549
http://www.wikidata.org/entity/Q51416,Люди в чёрном,Big Sky Ranch,589390539
http://www.wikidata.org/entity/Q51416,Люди в чёрном,Liberty State Park,589390539
http://www.wikidata.org/entity/Q51668,Страсти Христовы,Базиликата,610061517
http://www.wikidata.org/entity/Q60506,Сумерки. Сага: Рассвет — Часть 1,Рио-де-Жанейро,712205856
http://www.wikidata.org/entity/Q60506,Сумерки. Сага: Рассвет — Часть 1,Ванкувер,712205856
http://www.wikidata.org/entity/Q60506,Сумерки. Сага: Рассвет — Часть 1,Сент-Томас,712205856
http://www.wikidata.org/entity/Q116928,Сумерки. Сага. Новолуние,Ванкувер,711020081
http://www.wikidata.org/entity/Q116928,Сумерки. Сага. Новолуние,Кокуитлам,711020081
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Калифорния,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Мэн,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Аризона,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Юта,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Северная Каролина,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Южная Каролина,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Санта-Моника,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Ambassador Hotel,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Paramount Pictures Studios,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Bovard Administration Building,678151134
http://www.wikidata.org/entity/Q134773,Форрест Гамп,Marks Tower,678151134
http://www.wikidata.org/entity/Q151904,Казино «Рояль»,Лондон,609447995
